rank,mean_sharpe,learning_rate,gamma,gae_lambda,transaction_cost,total_timesteps,window_length
1,0.6113657461588579,0.0001,0.99,0.95,0.0005,200000,126
2,0.5749432806979438,0.0001,0.99,0.9,0.0005,200000,126
3,0.573947404508634,0.0001,0.95,0.95,0.0005,200000,126
4,0.52989272914117,0.0001,0.95,0.9,0.0005,200000,126
5,0.5278381442658772,0.0001,0.99,0.85,0.0005,200000,126
6,0.5253941203389371,0.0001,0.9,0.95,0.0005,200000,126
7,0.4831469486466919,0.0001,0.95,0.85,0.0005,200000,126
8,0.4811194750697281,0.0001,0.9,0.9,0.0005,200000,126
9,0.44233226403802445,0.0001,0.99,0.95,0.0005,200000,252
10,0.4359400778983596,0.0001,0.9,0.85,0.0005,200000,126
11,0.38986935584985954,0.0001,0.99,0.9,0.0005,200000,252
12,0.37974751094092385,0.0001,0.95,0.95,0.0005,200000,252
13,0.3713416131390866,0.0001,0.99,0.95,0.001,200000,126
14,0.34110376982472035,0.0001,0.99,0.85,0.0005,200000,252
15,0.32416320494936296,0.0001,0.95,0.9,0.0005,200000,252
16,0.32398393430946076,0.0001,0.95,0.95,0.001,200000,126
17,0.3192945733333541,0.0001,0.99,0.9,0.001,200000,126
18,0.31018206459821196,0.0001,0.9,0.95,0.0005,200000,252
19,0.27155880862735843,0.0001,0.95,0.85,0.0005,200000,252
20,0.2602846877617968,0.0001,0.95,0.9,0.001,200000,126
21,0.2584259330138065,0.0001,0.9,0.9,0.0005,200000,252
22,0.25631668183175726,0.0001,0.9,0.95,0.001,200000,126
23,0.25295297302830144,0.0001,0.99,0.85,0.001,200000,126
24,0.20867043196653481,0.0001,0.9,0.85,0.0005,200000,252
25,0.19284179865325546,0.0001,0.95,0.85,0.001,200000,126
26,0.19098310533749377,0.0001,0.9,0.9,0.001,200000,126
27,0.15977573005284598,0.0001,0.99,0.95,0.001,200000,252
28,0.12405271214481238,0.0001,0.9,0.85,0.001,200000,126
29,0.08590346205692179,0.0001,0.99,0.9,0.001,200000,252
30,0.07767494918008604,0.0001,0.95,0.95,0.001,200000,252
31,0.07734215029522194,0.0001,0.99,0.95,0.0005,400000,126
32,0.017027187619539974,0.0001,0.99,0.85,0.001,200000,252
33,0.0012397832193568787,0.0001,0.95,0.9,0.001,200000,252
34,-0.023475122127962638,0.0001,0.9,0.95,0.001,200000,252
35,-0.027316816280961238,0.0001,0.95,0.95,0.0005,400000,126
36,-0.038137404929722916,0.0001,0.99,0.9,0.0005,400000,126
37,-0.07222204582800644,0.0001,0.95,0.85,0.001,200000,252
38,-0.08048713407162371,0.0001,0.99,0.95,0.0005,400000,252
39,-0.09193368060001501,0.0001,0.9,0.9,0.001,200000,252
40,-0.09928446091587662,0.0001,0.9,0.95,0.0005,400000,126
41,-0.12170394328520774,0.0001,0.95,0.9,0.0005,400000,126
42,-0.13190212517487762,0.0003,0.99,0.95,0.0005,200000,126
43,-0.1502112558582643,0.0001,0.9,0.9,0.0005,400000,126
44,-0.15035022855352892,0.0001,0.99,0.9,0.0005,400000,252
45,-0.15056414882822058,0.0001,0.99,0.85,0.0005,400000,126
46,-0.15637429633631575,0.0001,0.9,0.85,0.001,200000,252
47,-0.16849334614828615,0.0003,0.95,0.95,0.0005,200000,126
48,-0.18521236397261462,0.001,0.99,0.85,0.0005,400000,252
49,-0.18727020920010543,0.0001,0.95,0.85,0.0005,400000,126
50,-0.2065345970270871,0.0001,0.9,0.85,0.0005,400000,126
51,-0.20772058088325887,0.001,0.99,0.85,0.0005,400000,126
52,-0.2130058833645377,0.0003,0.9,0.9,0.0005,200000,252
53,-0.21348121356657587,0.0001,0.95,0.95,0.0005,400000,252
54,-0.21967081770523375,0.0003,0.99,0.95,0.0005,200000,252
55,-0.2199808653310992,0.0003,0.99,0.9,0.0005,200000,252
56,-0.2206489134913521,0.0003,0.9,0.85,0.0005,200000,252
57,-0.22161015325192723,0.001,0.95,0.95,0.0005,400000,252
58,-0.22351520414372986,0.0003,0.95,0.9,0.0005,200000,126
59,-0.23338118738380845,0.0003,0.9,0.85,0.0005,400000,126
60,-0.23831775245817866,0.001,0.9,0.9,0.0005,200000,252
61,-0.2412684958261798,0.0001,0.99,0.85,0.0005,400000,252
62,-0.24603237525880953,0.001,0.9,0.95,0.0005,200000,252
63,-0.25507669517706927,0.0003,0.9,0.95,0.0005,200000,126
64,-0.26524546071200217,0.0003,0.95,0.9,0.0005,400000,126
65,-0.2725779360550533,0.0003,0.9,0.9,0.0005,400000,126
66,-0.28784841040110626,0.0001,0.95,0.9,0.0005,400000,252
67,-0.2947805934378543,0.0003,0.9,0.95,0.0005,200000,252
68,-0.30207770755243585,0.0003,0.9,0.85,0.0005,200000,126
69,-0.30257531033650914,0.0003,0.9,0.9,0.0005,200000,126
70,-0.304672628164053,0.001,0.99,0.9,0.0005,200000,126
71,-0.305905590835626,0.001,0.95,0.9,0.0005,200000,252
72,-0.31944152396856623,0.0003,0.99,0.85,0.0005,200000,252
73,-0.31975282107659714,0.001,0.9,0.9,0.0005,400000,252
74,-0.32056219602840347,0.001,0.99,0.85,0.0005,200000,126
75,-0.32247146954941336,0.001,0.99,0.9,0.0005,400000,252
76,-0.32309873700580344,0.0003,0.99,0.9,0.0005,200000,126
77,-0.3246681943804709,0.0001,0.9,0.95,0.0005,400000,252
78,-0.3299950921007555,0.001,0.9,0.95,0.0005,200000,126
79,-0.3309250637131041,0.0003,0.95,0.85,0.0005,400000,126
80,-0.33793313126451324,0.001,0.99,0.95,0.0005,400000,126
81,-0.34390344157254366,0.0003,0.99,0.9,0.0005,400000,126
82,-0.351490464461164,0.0001,0.95,0.85,0.0005,400000,252
83,-0.35273034818830123,0.0003,0.95,0.95,0.0005,200000,252
84,-0.358242943503532,0.0003,0.99,0.9,0.0005,400000,252
85,-0.3596983763273456,0.0003,0.99,0.85,0.0005,400000,126
86,-0.3647602872702576,0.0003,0.99,0.85,0.0005,400000,252
87,-0.3772206547526813,0.001,0.9,0.9,0.0005,200000,126
88,-0.3798909866912307,0.001,0.99,0.95,0.0005,200000,252
89,-0.3890672522090412,0.001,0.9,0.95,0.0005,400000,126
90,-0.39271538100545683,0.0001,0.9,0.9,0.0005,400000,252
91,-0.39427538375963556,0.001,0.95,0.85,0.0005,400000,252
92,-0.3993563060535001,0.001,0.95,0.95,0.0005,400000,126
93,-0.4084306811090235,0.001,0.9,0.95,0.0005,400000,252
94,-0.4158264611572758,0.001,0.95,0.9,0.0005,400000,252
95,-0.4169610403851694,0.0003,0.99,0.85,0.0005,200000,126
96,-0.41821855660857005,0.0003,0.95,0.95,0.0005,400000,126
97,-0.4197257276894795,0.0003,0.99,0.95,0.0005,400000,252
98,-0.42121020331797365,0.0003,0.9,0.95,0.0005,400000,252
99,-0.42341933171977036,0.0001,0.99,0.95,0.001,400000,126
100,-0.4246959292102411,0.001,0.95,0.85,0.0005,200000,126
101,-0.4407508715889971,0.001,0.99,0.9,0.0005,400000,126
102,-0.4407664875771012,0.0003,0.95,0.85,0.0005,200000,126
103,-0.4429603785756501,0.0003,0.9,0.95,0.0005,400000,126
104,-0.44356442963627035,0.0001,0.9,0.85,0.0005,400000,252
105,-0.44918276622897485,0.001,0.99,0.95,0.0005,400000,252
106,-0.45087621178169734,0.001,0.99,0.95,0.0005,200000,126
