rank,mean_sharpe,learning_rate,gamma,gae_lambda,transaction_cost,total_timesteps,window_length
1,0.1828631043536558,0.0001,0.99,0.95,0.0005,200000,252
2,0.10387606729810746,0.0001,0.95,0.95,0.0005,200000,252
3,0.10349385628344109,0.0003,0.99,0.95,0.0005,200000,252
4,0.09702826481521996,0.0003,0.95,0.95,0.0005,200000,252
5,0.0911421421509136,0.0001,0.99,0.95,0.0005,200000,126
6,0.08455561430398122,0.0001,0.99,0.9,0.0005,200000,252
7,0.07650857418265604,0.0003,0.99,0.9,0.0005,200000,252
8,0.07430792707256013,0.0003,0.99,0.9,0.0005,400000,126
9,0.06675320751633469,0.0001,0.9,0.95,0.0005,200000,126
10,0.06025228791350742,0.0001,0.9,0.95,0.0005,200000,252
11,0.059741596459246205,0.0003,0.9,0.95,0.0005,200000,252
12,0.05228481356185447,0.0001,0.95,0.95,0.0005,200000,126
13,0.049936696176841565,0.0003,0.9,0.85,0.0005,200000,252
14,0.045132724175601414,0.0001,0.99,0.85,0.0005,200000,252
15,0.037351044506201136,0.0001,0.95,0.9,0.0005,200000,252
16,0.023560203766215742,0.001,0.9,0.95,0.0005,200000,252
17,0.021455691442565872,0.0001,0.95,0.85,0.0005,200000,252
18,0.00997454414912477,0.0001,0.99,0.95,0.0005,400000,252
19,0.009851128000094057,0.0003,0.9,0.95,0.0005,400000,252
20,-0.0016690300651171681,0.0001,0.9,0.9,0.0005,200000,126
21,-0.0019790255457286707,0.0001,0.99,0.9,0.0005,200000,126
22,-0.006389782461723763,0.001,0.9,0.85,0.0005,200000,252
23,-0.008374178260438144,0.0001,0.9,0.9,0.0005,200000,252
24,-0.008414806946865564,0.001,0.9,0.9,0.0005,200000,252
25,-0.008605338830933526,0.0003,0.99,0.95,0.0005,200000,126
26,-0.015452804089582828,0.001,0.99,0.9,0.0005,200000,252
27,-0.016397124828255078,0.0003,0.95,0.9,0.0005,200000,252
28,-0.01994788137524429,0.0001,0.95,0.9,0.0005,200000,126
29,-0.03345268560194823,0.0003,0.99,0.85,0.0005,400000,252
30,-0.037746895451927366,0.0003,0.99,0.9,0.0005,400000,252
31,-0.04197634011500625,0.0001,0.9,0.85,0.0005,200000,252
32,-0.04724464803101447,0.0001,0.95,0.95,0.0005,400000,252
33,-0.04988963539641116,0.001,0.99,0.9,0.0005,400000,252
34,-0.05740772565534332,0.0003,0.99,0.85,0.0005,200000,252
35,-0.06509266734361385,0.001,0.9,0.95,0.0005,400000,252
36,-0.06753506431922317,0.0003,0.95,0.85,0.0005,200000,252
37,-0.06872544482785771,0.0001,0.99,0.85,0.0005,200000,126
38,-0.07101944878146499,0.0003,0.99,0.85,0.0005,400000,126
39,-0.0800427856483621,0.0001,0.99,0.9,0.0005,400000,252
40,-0.08701178559912504,0.0003,0.9,0.9,0.0005,200000,252
41,-0.08842950971013801,0.001,0.9,0.9,0.0005,400000,252
42,-0.09023405394698848,0.001,0.95,0.9,0.0005,200000,252
43,-0.09107225110382851,0.001,0.99,0.95,0.0005,400000,126
44,-0.09531455578292354,0.0003,0.95,0.95,0.0005,400000,126
45,-0.09613925533184492,0.0003,0.95,0.95,0.0005,200000,126
46,-0.09745855681148392,0.0001,0.9,0.85,0.0005,200000,126
47,-0.10348278484404261,0.0003,0.99,0.9,0.0005,200000,126
48,-0.10606987403173507,0.0001,0.9,0.9,0.0005,400000,126
49,-0.1084258266262517,0.0001,0.99,0.85,0.0005,400000,252
50,-0.11012610795693828,0.0001,0.95,0.85,0.0005,200000,126
51,-0.11300373729815527,0.001,0.9,0.9,0.0005,400000,126
52,-0.11742881389227973,0.001,0.99,0.85,0.0005,400000,252
53,-0.11787878881710555,0.001,0.99,0.9,0.0005,200000,126
54,-0.11860829528387935,0.001,0.95,0.85,0.0005,400000,252
55,-0.13383254293006666,0.001,0.99,0.85,0.0005,400000,126
56,-0.13510756658690387,0.001,0.95,0.9,0.0005,400000,126
57,-0.13715208453843006,0.0001,0.95,0.85,0.0005,400000,252
58,-0.13733262219455555,0.001,0.99,0.9,0.0005,400000,126
59,-0.13834094483449674,0.0003,0.99,0.95,0.0005,400000,252
60,-0.15382007732644748,0.001,0.99,0.85,0.0005,200000,252
61,-0.15913647690420982,0.001,0.9,0.85,0.0005,400000,252
62,-0.16304428100617305,0.001,0.99,0.95,0.0005,200000,126
63,-0.16365268302895575,0.0001,0.9,0.95,0.0005,400000,126
64,-0.16408707291633695,0.0001,0.95,0.9,0.0005,400000,252
65,-0.16730230139433633,0.0001,0.9,0.95,0.0005,400000,252
66,-0.17253106883246472,0.0003,0.9,0.9,0.0005,200000,126
67,-0.17516416244325764,0.0001,0.99,0.95,0.0005,400000,126
68,-0.17684860614753295,0.001,0.95,0.85,0.0005,200000,252
69,-0.17722183067235253,0.0001,0.9,0.85,0.0005,400000,126
70,-0.18199624892658073,0.0003,0.95,0.9,0.0005,200000,126
71,-0.18298055276182942,0.0001,0.9,0.85,0.0005,400000,252
72,-0.18663132875410496,0.0003,0.99,0.85,0.0005,200000,126
73,-0.18694981302425887,0.0003,0.95,0.9,0.0005,400000,252
74,-0.19007226417025316,0.001,0.95,0.9,0.0005,400000,252
75,-0.19044503070963548,0.001,0.95,0.95,0.0005,200000,252
76,-0.19577826554277175,0.0003,0.95,0.85,0.0005,400000,126
77,-0.196756937815155,0.0001,0.95,0.85,0.0005,400000,126
78,-0.19713581728309837,0.0003,0.95,0.95,0.0005,400000,252
79,-0.1987383092867245,0.001,0.95,0.95,0.0005,400000,252
